INFO 2025-04-15 23:40:32,944 autoreload 21000 10304 Watching for file changes with StatReloader
INFO 2025-04-15 23:43:23,163 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,171 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,175 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,175 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,183 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,188 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,189 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,195 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,197 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,202 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,207 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,212 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,214 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,216 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,216 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,223 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,229 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,233 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,233 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,236 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,243 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,244 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,250 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,254 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,254 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:23,260 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:23,264 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:23,265 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,099 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,101 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,105 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,110 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,110 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,117 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,117 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,117 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,127 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,133 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,133 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,140 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,144 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,146 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,150 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,151 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,151 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,161 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,167 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,168 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,173 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,173 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,180 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,185 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,187 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,187 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,196 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:24,203 views 2804 18524 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:24,204 basehttp 2804 18524 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:24,209 basehttp 2804 18524 "GET / HTTP/1.1" 302 0
INFO 2025-04-15 23:43:29,693 autoreload 21860 15180 Watching for file changes with StatReloader
INFO 2025-04-15 23:43:37,438 basehttp 21860 20592 "GET /students/ HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,455 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,456 basehttp 21860 20592 "GET /login/?next=/students/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,461 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,466 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,466 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,466 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,476 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,476 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,481 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,484 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,485 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,488 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,492 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,493 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,497 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,502 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,502 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,505 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,505 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,505 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,515 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,521 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,521 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,525 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,528 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,528 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
INFO 2025-04-15 23:43:37,531 basehttp 21860 20592 "GET / HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:37,531 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:37,539 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
ERROR 2025-04-15 23:43:38,572 views 21860 20592 Error in user_login: Reverse for 'enter_score' not found. 'enter_score' is not a valid view function or pattern name.
INFO 2025-04-15 23:43:38,574 basehttp 21860 20592 "GET /login/?next=/ HTTP/1.1" 302 0
